,layer_vals,labels,class_description,palette
0,11,Open water," areas of open water, generally with less than 25% cover of vegetation or soil.",466b9f
1,12,Perennial ice/snow," areas characterized by a perennial cover of ice and/or snow, generally greater than 25% of total cover.
",d1def8
2,21,"Developed, open space"," areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20% of total cover. These areas most commonly include large-lot single-family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes.
",dec5c5
3,22,"Developed, low intensity"," areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20% to 49% percent of total cover. These areas most commonly include single-family housing units.
",d99282
4,23,"Developed, medium intensity"," areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50% to 79% of the total cover. These areas most commonly include single-family housing units.
",eb0000
5,24,Developed high intensity," highly developed areas where people reside or work in high numbers. Examples include apartment complexes, row houses, and commercial/industrial. Impervious surfaces account for 80% to 100% of the total cover.
",ab0000
6,31,Barren land (rock/sand/clay)," areas of bedrock, desert pavement, scarps, talus, slides, volcanic material, glacial debris, sand dunes, strip mines, gravel pits, and other accumulations of earthen material. Generally, vegetation accounts for less than 15% of total cover.
",b3ac9f
7,41,Deciduous forest," areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species shed foliage simultaneously in response to seasonal change.
",68ab5f
8,42,Evergreen forest," areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75% of the tree species maintain their leaves all year. Canopy is never without green foliage.
",1c5f2c
9,43,Mixed forest," areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75% of total tree cover.
",b5c58f
10,51,Dwarf scrub," Alaska only areas dominated by shrubs less than 20 centimeters tall with shrub canopy typically greater than 20% of total vegetation. This type is often co-associated with grasses, sedges, herbs, and non-vascular vegetation.
",af963c
11,52,Shrub/scrub," areas dominated by shrubs less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage, or trees stunted from environmental conditions.
",ccb879
12,71,Grassland/herbaceous," areas dominated by gramanoid or herbaceous vegetation, generally greater than 80% of total vegetation. These areas are not subject to intensive management such as tilling, but can be utilized for grazing.
",dfdfc2
13,72,Sedge/herbaceous," Alaska only areas dominated by sedges and forbs, generally greater than 80% of total vegetation. This type can occur with significant other grasses or other grass like plants, and includes sedge tundra and sedge tussock tundra.
",d1d182
14,73,Lichens," Alaska only areas dominated by fruticose or foliose lichens generally greater than 80% of total vegetation.
",a3cc51
15,74,Moss," Alaska only areas dominated by mosses, generally greater than 80% of total vegetation.",82ba9e
16,81,Pasture/hay," areas of grasses, legumes, or grass-legume mixtures planted for livestock grazing or the production of seed or hay crops, typically on a perennial cycle. Pasture/hay vegetation accounts for greater than 20% of total vegetation.
",dcd939
17,82,Cultivated crops," areas used for the production of annual crops, such as corn, soybeans, vegetables, tobacco, and cotton, and also perennial woody crops such as orchards and vineyards. Crop vegetation accounts for greater than 20% of total vegetation. This class also includes all land being actively tilled.
",ab6c28
18,90,Woody wetlands," areas where forest or shrubland vegetation accounts for greater than 20% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.
",b8d9eb
19,95,Emergent herbaceous wetlands," areas where perennial herbaceous vegetation accounts for greater than 80% of vegetative cover and the soil or substrate is periodically saturated with or covered with water.
",6c9fb8
